ID,LON,LAT,NAME,CLASS,STATE,ANNUAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
36758,-379.383,-92.624,�gua Branca,Sede Municipal,ALAGOAS,5471,6272,6053,5996,5295,4453,3982,4090,4805,5716,6028,6576,6388
35281,-363.081,-96.853,Anadia,Sede Municipal,ALAGOAS,5234,5928,5819,5794,5058,4200,3903,3962,4551,5381,5702,6236,6275
34915,-366.618,-97.553,Arapiraca,Sede Municipal,ALAGOAS,5288,6047,5817,5833,5096,4246,3958,4072,4644,5404,5764,6285,6289
36021,-360.088,-95.123,Atalaia,Sede Municipal,ALAGOAS,5212,5873,5794,5793,5099,4245,3920,4003,4579,5379,5612,6115,6132
36404,-355.104,-94.027,Barra de Santo Ant�nio,Sede Municipal,ALAGOAS,5434,6085,6032,6105,5180,4414,4082,4194,4858,5555,5923,6381,6403
34922,-35.906,-98.389,Barra de S�o Miguel,Sede Municipal,ALAGOAS,5398,6125,6105,6021,5137,4364,3993,4159,4768,5496,5906,6322,6382
35273,-371.279,-96.735,Batalha,Sede Municipal,ALAGOAS,5309,6067,5785,5811,5152,4279,3975,4097,4724,5504,5731,6323,6261
35646,-364.907,-95.709,Bel�m,Sede Municipal,ALAGOAS,5247,5989,5835,5777,5115,4198,3834,3925,4551,5377,5718,6331,6314
34909,-372.773,-98.232,Belo Monte,Sede Municipal,ALAGOAS,5374,6106,5948,5903,5211,4360,4066,4154,4787,5560,5804,6341,6250
35648,-362.128,-96.435,Boca da Mata,Sede Municipal,ALAGOAS,5147,5840,5697,5751,4981,4144,3773,3881,4431,5303,5606,6198,6154
37155,-360.164,-92.339,Branquinha,Sede Municipal,ALAGOAS,5171,5781,5755,5725,5079,4217,3814,3893,4505,5392,5643,6139,6108
36390,-369.914,-94.016,Cacimbinhas,Sede Municipal,ALAGOAS,5381,6101,5881,5913,5183,4355,3949,4113,4707,5570,5929,6472,6399
36398,-361.562,-93.998,Cajueiro,Sede Municipal,ALAGOAS,5109,5758,5670,5681,5067,4194,3786,3878,4414,5237,5498,6085,6034
38678,-355.688,-88.477,Campestre,Sede Municipal,ALAGOAS,5155,5686,5648,5735,5008,4232,3930,3961,4608,5397,5633,6058,5967
34918,-363.528,-97.849,Campo Alegre,Sede Municipal,ALAGOAS,5238,5960,5832,5843,5054,4239,3893,4029,4570,5312,5689,6179,6261
34201,-367.929,-99.559,Campo Grande,Sede Municipal,ALAGOAS,5252,5911,5811,5773,5030,4228,4001,4072,4628,5412,5747,6210,6195
37517,-376.028,-91.164,Canapi,Sede Municipal,ALAGOAS,5531,6317,6077,6087,5391,4470,3965,4148,4781,5758,6185,6703,6492
36399,-360.829,-94.155,Capela,Sede Municipal,ALAGOAS,5153,5778,5673,5736,5048,4201,3836,3923,4497,5334,5583,6137,6091
36008,-373.759,-94.837,Carneiros,Sede Municipal,ALAGOAS,5434,6139,5962,5987,5303,4384,4013,4138,4781,5630,5980,6547,6339
